,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Palafrugell,ES,74.16,broken clouds,41.9174,3.1631,Hotel La Torre
12,Sompeta,IN,77.9,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
14,San Quintin,MX,77.74,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
21,Hithadhoo,MV,80.1,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Limon,CR,85.89,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
26,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Green leaf
28,Laguna,US,80.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
29,Rikitea,PF,70.12,scattered clouds,-23.1203,-134.9692,People ThankYou
30,Port Elizabeth,ZA,72.32,few clouds,-33.918,25.5701,39 On Nile Guest House
32,Kapaa,US,73.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Georgetown,MY,82.24,few clouds,5.4112,100.3354,Cititel Penang
39,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Central
40,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Waddan,LY,73.13,broken clouds,29.1614,16.139,محل الشريف محمد العايب
42,Praia,CV,88.34,few clouds,14.9215,-23.5087,LT Aparthotel
47,Alofi,NU,73.29,few clouds,-19.0595,-169.9187,Taloa Heights
55,Butaritari,KI,81.28,broken clouds,3.0707,172.7902,Isles Sunset Lodge
56,Touho,NC,73.63,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
57,Wattegama,LK,74.89,overcast clouds,6.7989,81.4808,
62,Angoche,MZ,77.11,clear sky,-16.2325,39.9086,Guest House HESADA
64,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Atuona,PF,76.71,few clouds,-9.8,-139.0333,Villa Enata
70,Vanimo,PG,76.82,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
72,Lompoc,US,85.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
73,Ponta Do Sol,PT,77.72,overcast clouds,32.6667,-17.1,Hotel do Campo
74,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
75,Todos Santos,MX,84.31,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
77,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Riyadh,SA,84.34,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
79,Kruisfontein,ZA,76.8,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
80,Faanui,PF,77.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Ormara,PK,80.62,few clouds,25.2088,64.6357,Kenara Colony House for Rent
86,Carutapera,BR,88.81,overcast clouds,-1.195,-46.02,Lidera
87,Progreso,MX,74.89,light rain,21.2833,-89.6667,Playa Linda Hotel
91,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
92,Farroupilha,BR,74.08,scattered clouds,-29.225,-51.3478,Hotel Nova Vicenza
101,Port Blair,IN,80.28,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
102,Whithorn,JM,83.46,scattered clouds,18.2604,-78.0378,Sunset Heal
104,Kalmunai,LK,79.88,moderate rain,7.4167,81.8167,VS Villa
106,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
108,Pilar,BR,82.33,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
110,Kavieng,PG,81.66,light rain,-2.5744,150.7967,Nusa Island Retreat
112,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
123,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
125,Siniscola,IT,71.15,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
126,Bengkulu,ID,75.78,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
128,Touros,BR,83.77,few clouds,-5.1989,-35.4608,INN NEW HORIZON
129,Bowen,AU,75.79,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
130,Srivardhan,IN,79.0,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
131,Pochutla,MX,72.82,light rain,15.7432,-96.4661,Hotel Posada San Jose
132,Vilhena,BR,80.82,few clouds,-12.7406,-60.1458,Hotel Mirage
133,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,Le four à pain
135,Castro,BR,73.13,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
138,Cabo San Lucas,MX,85.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Porto Velho,BR,89.65,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
141,Rawson,AR,77.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
142,Arraial Do Cabo,BR,78.76,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
143,Nueve De Julio,AR,75.96,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
147,Aleppo,SY,71.13,scattered clouds,36.25,37.5,أمل دوريش
