,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,36.41,97,100,27.25,moderate rain
1,Ilorin,NG,8.5,4.55,91.76,52,20,3.44,thunderstorm
2,Bud,US,39.447,-86.1758,48.06,54,7,13.78,clear sky
3,Kilrush,IE,52.6397,-9.4833,58.75,92,100,23.11,overcast clouds
4,Thompson,CA,55.7435,-97.8558,39.36,70,75,10.36,broken clouds
5,Port Alfred,ZA,-33.5906,26.891,69.19,91,7,11.7,clear sky
6,Palafrugell,ES,41.9174,3.1631,74.16,55,63,7.63,broken clouds
7,Carnarvon,AU,-24.8667,113.6333,66.4,82,0,12.06,clear sky
8,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,51.46,40,20,16.11,few clouds
10,Kamenka,RU,51.3223,42.7678,50.32,73,100,12.77,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,46.71,63,58,3.2,broken clouds
12,Sompeta,IN,18.9333,84.6,77.9,84,18,4.03,few clouds
13,Victor Harbor,AU,-35.5667,138.6167,59.0,89,63,9.53,broken clouds
14,San Quintin,MX,30.4833,-115.95,77.74,49,5,1.81,clear sky
15,Srednekolymsk,RU,67.45,153.6833,12.13,92,100,20.78,light snow
16,Hobart,AU,-42.8794,147.3294,47.05,87,31,5.75,scattered clouds
17,Nikolskoye,RU,59.7035,30.7861,38.91,91,11,5.28,few clouds
18,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,32.21,clear sky
19,Yuksekova,TR,37.5736,44.2872,55.22,38,97,4.76,overcast clouds
20,Broome,US,42.2506,-75.833,43.86,72,100,11.5,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,80.1,78,100,7.49,overcast clouds
22,Port Hardy,CA,50.6996,-127.4199,51.98,100,75,3.44,broken clouds
23,Bluff,NZ,-46.6,168.3333,46.74,71,100,21.63,overcast clouds
24,Limon,CR,10.0,-83.0333,85.89,66,40,10.36,scattered clouds
25,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,100,9.22,drizzle
26,Puerto Ayora,EC,-0.7393,-90.3518,75.16,86,87,7.0,overcast clouds
27,Kavaratti,IN,10.5669,72.642,81.3,77,100,15.05,overcast clouds
28,Laguna,US,38.421,-121.4238,80.08,52,0,6.91,clear sky
29,Rikitea,PF,-23.1203,-134.9692,70.12,68,41,17.52,scattered clouds
30,Port Elizabeth,ZA,-33.918,25.5701,72.32,88,20,11.5,few clouds
31,Albany,US,42.6001,-73.9662,50.4,57,30,1.01,scattered clouds
32,Kapaa,US,22.0752,-159.319,73.38,86,100,5.75,light rain
33,Henties Bay,NA,-22.116,14.2845,59.32,88,56,12.53,broken clouds
34,Ribeira Grande,PT,38.5167,-28.7,63.77,82,75,23.02,light intensity shower rain
35,Peniche,PT,39.3558,-9.3811,64.08,90,91,15.57,overcast clouds
36,Georgetown,MY,5.4112,100.3354,82.24,87,20,10.36,few clouds
37,Upernavik,GL,72.7868,-56.1549,18.46,82,84,4.63,broken clouds
38,Marawi,PH,7.9986,124.2928,69.85,93,98,3.69,overcast clouds
39,Victoria,HK,22.2855,114.1577,75.33,71,97,5.99,overcast clouds
40,Vaini,TO,-21.2,-175.2,71.76,94,20,1.14,few clouds
41,Waddan,LY,29.1614,16.139,73.13,46,63,9.42,broken clouds
42,Praia,CV,14.9215,-23.5087,88.34,62,20,10.36,few clouds
43,Houma,US,29.5958,-90.7195,59.0,48,0,8.14,clear sky
44,Nortelandia,BR,-14.4547,-56.8028,100.27,28,96,5.08,overcast clouds
45,Tiksi,RU,71.6872,128.8694,19.58,81,100,14.03,overcast clouds
46,Codrington,AU,-38.2667,141.9667,49.1,94,2,6.42,clear sky
47,Alofi,NU,-19.0595,-169.9187,73.29,100,22,3.44,few clouds
48,Atasu,KZ,48.6814,71.6433,45.57,43,100,21.7,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,69.89,74,0,10.36,clear sky
50,North Platte,US,41.1239,-100.7654,58.32,27,66,8.34,broken clouds
51,Jamestown,US,42.097,-79.2353,40.59,97,100,12.66,mist
52,Faya,SA,18.3851,42.4509,68.11,45,3,2.95,clear sky
53,Santa Vitoria,BR,-18.8386,-50.1214,96.67,23,83,4.63,broken clouds
54,Sukhumi,GE,43.0033,41.0153,65.19,72,96,6.2,overcast clouds
55,Butaritari,KI,3.0707,172.7902,81.28,71,67,14.76,broken clouds
56,Touho,NC,-20.7833,165.2333,73.63,77,78,13.62,broken clouds
57,Wattegama,LK,6.7989,81.4808,74.89,92,93,1.66,overcast clouds
58,Bethel,US,41.3712,-73.414,53.55,55,4,3.0,clear sky
59,Hervey Bay,AU,-25.2986,152.8535,67.01,93,100,5.99,moderate rain
60,Saskylakh,RU,71.9167,114.0833,6.51,91,66,10.74,broken clouds
61,Qaanaaq,GL,77.484,-69.3632,-0.69,72,2,7.83,clear sky
62,Angoche,MZ,-16.2325,39.9086,77.11,79,1,10.22,clear sky
63,Aksha,RU,50.2814,113.2867,40.41,57,100,1.12,overcast clouds
64,Hilo,US,19.7297,-155.09,80.28,88,91,5.01,overcast clouds
65,Atuona,PF,-9.8,-139.0333,76.71,67,15,15.93,few clouds
66,Paramonga,PE,-10.6667,-77.8333,66.33,72,92,12.8,overcast clouds
67,Ancud,CL,-41.8697,-73.8203,62.22,79,64,8.79,broken clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,26.91,86,100,5.39,overcast clouds
69,Mar Del Plata,AR,-38.0023,-57.5575,64.94,88,40,18.99,scattered clouds
70,Vanimo,PG,-2.6741,141.3028,76.82,91,97,3.8,overcast clouds
71,Mataura,NZ,-46.1927,168.8643,36.57,99,90,2.37,overcast clouds
72,Lompoc,US,34.6391,-120.4579,85.84,55,0,9.22,clear sky
73,Ponta Do Sol,PT,32.6667,-17.1,77.72,71,97,9.01,overcast clouds
74,Avarua,CK,-21.2078,-159.775,73.45,78,75,5.75,broken clouds
75,Todos Santos,MX,23.45,-110.2167,84.31,69,40,5.26,scattered clouds
76,Vardo,NO,70.3705,31.1107,37.38,87,40,36.82,scattered clouds
77,Cayenne,GF,4.9333,-52.3333,87.84,62,40,14.97,scattered clouds
78,Riyadh,SA,24.6877,46.7219,84.34,12,38,2.8,scattered clouds
79,Kruisfontein,ZA,-34.0033,24.7314,76.8,60,51,6.93,broken clouds
80,Faanui,PF,-16.4833,-151.75,77.32,77,10,6.15,clear sky
81,Dikson,RU,73.5069,80.5464,32.2,99,100,8.81,light snow
82,Hermanus,ZA,-34.4187,19.2345,64.8,85,59,15.88,broken clouds
83,Ormara,PK,25.2088,64.6357,80.62,68,19,7.07,few clouds
84,Hasaki,JP,35.7333,140.8333,54.28,58,30,16.82,scattered clouds
85,Adrar,MR,20.5022,-10.0711,96.48,10,2,6.6,clear sky
86,Carutapera,BR,-1.195,-46.02,88.81,56,98,12.41,overcast clouds
87,Progreso,MX,21.2833,-89.6667,74.89,84,100,17.38,light rain
88,Kodinsk,RU,58.6881,99.1844,30.88,99,99,2.44,overcast clouds
89,Khatanga,RU,71.9667,102.5,16.07,95,100,5.32,light snow
90,Busselton,AU,-33.65,115.3333,56.1,89,20,5.01,few clouds
91,Quatre Cocos,MU,-20.2078,57.7625,71.71,75,64,15.55,broken clouds
92,Farroupilha,BR,-29.225,-51.3478,74.08,79,40,9.22,scattered clouds
93,Corinto,GR,37.9407,22.9573,64.89,44,0,2.33,clear sky
94,Damavand,IR,35.7178,52.065,51.71,69,2,1.5,clear sky
95,Yellowknife,CA,62.456,-114.3525,41.52,87,100,12.66,overcast clouds
